!bt|BitTorrent Incomplete Download 
!qb|qBittorrent Partial Download 
!ut|uTorrent Incomplete Download 
#24|Printer data for 24 pin matrix printer (LocoScript)
#ib|Printer data (LocoScript)
#sc|Printer data (LocoScript)
#st|Standard mode printer definitions (LocoScript)
$#!|Cryptext
$$$|Temporary 
$00|Pipe (DOS)
$01|Pipe (DOS)
$db|Temporary (dBASE IV)
$ed|Editor temporary (MS C)
$er|GroupWise Database
$o1|Pipe (DOS)
$vm|Virtual manager temporary (Windows 3.x)
^^^|Pervasive.SQL Database 
__a|File Splitter & Joiner Encrypted 
__b|File Splitter & Joiner Encrypted Archive 
_dd|Norton Disk Doctor Recovered 
_eml|Windows Live Mail Email 
_nws|Windows Live Mail Newsgroup Copy 
_p|Malicious Software Removal Tool Temporary 
~$~|Temporary (1st Reader)
~ap|Old AppExpert project database (Borland C++ 4.5)
~de|Project backup (Borland C++ 4.5)
~hm|HostMonitor TestList Backup 
~mn|Menu backup (Norton Commander)
{pb|Corel WordPerfect Document Index .000|Image Data Recovery 
001|Norton Ghost Span 
075|75x75 dpi display font (Ventura Publisher)
085|85x85 dpi display font (Ventura Publisher)
091|91x91 dpi display font (Ventura Publisher)
096|96x96 dpi display font (Ventura Publisher)
0b|Printer font with lineDraw extended character set (PageMaker)
0xe|F-Secure Renamed Virus 
1|Inno Setup Binary 
10|IBM Voice Type Script 
113|Iomega Backup 
123|Lotus 1-2-3 Spreadsheet 
15u|Printer font with PI font set (PageMaker)
1pe|TurboTax Form 
1ph|TurboTax 
1st|Usually README.1ST text
2|Setup Factory 6.0 setup launcher
264|Ripped Video Data 
2d|2d Drawings (VersaCad)
2da|2 Dimensional Data Array 
2dl|2d Libraries (VersaCad)
3d|3d Drawings (VersaCad)
3dl|3d Libraries (VersaCad)
3dv|3D VRML World
301|Fax (Super FAX 2000 - Fax-Mail 96)
386|Intel 80386 processor driver (Windows 3.x)
3da|3D Assembly 
3dd|ArcGlobe Document 
3dr|3DMark Benchmark 
3ds|Graphics (3D Studio)
3dt|Database for 3D mind map / concept map (3D Topicscape)
3fx|Effect (CorelChart)
3g2|3GPP2 format
3gp|3GPP Multimedia 
3gr|Data (Windows Video Grabber)
3ko|NGRAIN Mobilizer
3me|TurboTax Form 
3mm|3D Movie Maker Movie Project
3pe|TurboTax 2008 Form 
3t4|Binary converter to ASCII (Util3)
411|Sony Mavica Data 
4c$|Datafile (4Cast/2)
4dv|4D View Ultrasound 
4mp|4-MP3 Database 
4sw|4dos Swap File
4th|Forth source code (ForthCMP - LMI Forth)
5cr|Preconfigured drivers for System 5cr and System 5cr Plus
669|Music (8 channels) (The 669 Composer)
6cm|Music (6 Channel Module) (Triton FastTracker)
777|7-Zip compressed archive
7z|7-Zip archiving format
8|A86 assembler source code 
8b?|Adobe Photoshop Plugin 
8ba|Adobe Photoshop Plugin 
8bf|Adobe Photoshop Plugin 
8bi|Adobe Photoshop Plugin 
8cm|Music (8 Channel Module) (Triton FastTracker)
8li|Photoshop Scripting Plug-in
8m|Printer font with Math 8 extended character set (PageMaker)
8pbs|Adobe Photoshop Macintosh 
8u|Printer font with Roman 8 extended character set (PageMaker) 
a|Ada source code 
a0?|ALZip Split Archive 
a11|Graphics AIIM image 
a2b|A2B Player Playlist
a3d|Amapi 3D Modeling 
a3m|Unpackaged Authorware MacIntosh 
a3w|Unpackaged Authorware Windows 
a4a|Authorware 4.x Library
a4m|Unpackaged Authorware MacIntosh 
a4p|Authorware packaged without runtime
a4w|Unpackaged Authorware Windows 
a5w|Unpackaged Authorware Windows 
aa|Audible Audio 
aab|Macromedia Authorware Binary
aac|Advanced Audio Coding MPEG-2 MPEG-4
aam|Authorware shocked 
aax|Audible Audiobook 
ab2|Parson's Address Book
ab6|Datafile (ABStat)
ab8|Datafile (ABStat)
aba|Palm Address Book 
abc|ActionScript Byte Code File 
abd|AmBiz Bonus Calculator data 
abf|Adobe Binary Font
abi|ABI CODER Encryption software 
abk|Automatic backup (CorelDRAW)
abm|ImagePals Photo Album Document 
abr|Adobe Photoshop brush 
abs|Abstracts (info file) 
abw|AbiWord document
abx|WordPerfect Address Book 
aby|AOL (located in AOL program directory)
ac3|AC3 Audio File Format
aca|Microsoft Agent Character 
acb|Graphics (ACMB)
acc|Program (DR-DOS - ViewMax) (GEM / resident)
acd|Sonic Foundry Acid music 
ace|Ace Archiver / WinAce compressed 
acf|Microsoft Agent Character 
aci|ACI Development Appraisal
acl|Microsoft Office Auto Correction 
acm|Audio Compression Manager Driver 
acorn|ACORN Graphics format
acs|MS Agent Character 
acs2|AIMP2 Media Player Skin 
acsm|Adobe Content Server Message 
act|Actor source code 
acv|OS/2 Audio Drivers 
ad|Screen saver data (AfterDark)
ada|Ada source code 
adb|Ada Package Body
adc|Bitmap graphics (16 colors) (Scanstudio)
ade|Microsoft Access Project
adf|Adapter Description 
adi|Graphics (AutoCAD)
adl|Mca adapter description library (QEMM)
adm|After Dark Screen Saver Module 
adn|Add-in (Lotus 1-2-3)
ado|Photoshop Duotone Options 
adp|FaxWorks Modem setup 
adr|Address Book 
ads|Ada Package Specification
adt|Datafile for cardfile application (HP NewWave) 
adx|Document (Archetype Designer)
adz|GZ-Packed Amiga Disk 
aeh|iPer Advanced Embedded Hypertext
